query_name,query_string,tweet_id,author_id,created_at,text_raw,text_normalized
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001083877549277581,1002044698498879489,2025-12-17 00:15:49+00:00,"Procurando um Data Scientist/Data Engineer, pleno/senior conhece alguém muito bom? Manda ai",procurando um data scientistdata engineer plenosenior conhece alguem muito bom manda ai
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001079957595066412,1804032942953648128,2025-12-17 00:00:14+00:00,"❣️／／✦
📢 速習 Google Cloud 認定資格対策 Series - data engineer、Network #ad
❣️＼＼

試験対策に最適！図解が豊富で、難しい概念もスッと頭に入ってくる。

👁 🔽 #フォロバ100 #ブラックフライデー
https://t.co/GAuCcRSkH4",google cloud series data engineernetwork ad 100 httpstcogauccrskh4
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001077979682889993,1980325209015283713,2025-12-16 23:52:23+00:00,"The most underrated data pipeline feature?

Idempotency.

Because production doesn’t fail politely.
It retries. It replays. It breaks assumptions.
Build pipelines that survive retries.

Read: https://t.co/RVAyDkkKsj

@databricks @Snowflake 

#DataEngineering #BigData #Snowflake",the most underrated data pipeline feature idempotency because production doesnt fail politely it retries it replays it breaks assumptions build pipelines that survive retries read httpstcorvaydkkksj databricks snowflake dataengineering bigdata snowflake
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001075865392709694,1455870554142040078,2025-12-16 23:43:59+00:00,"@humidifi I’m Solana Data Engineer 
My engineering analysis said price go up",humidifi im solana data engineer my engineering analysis said price go up
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001073176072081914,1093368318243688448,2025-12-16 23:33:17+00:00,"🚀 Remote Job Alert – Mexico 🇲🇽

We’re hiring an AWS Data Engineer to work 100% remotely with a US-based client.

👉 Apply here: https://t.co/K7jh8By18P

#AWS #DataEngineer #RemoteJobs #MexicoJobs #TechJobs #Hiring #PeopleThrust https://t.co/1BARCpndHE",remote job alert mexico were hiring an aws data engineer to work 100 remotely with a usbased client apply here httpstcok7jh8by18p aws dataengineer remotejobs mexicojobs techjobs hiring peoplethrust httpstco1barcpndhe
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001071064311386489,611532691,2025-12-16 23:24:54+00:00,"Sr Cloud Data Engineer, BCBS Nebraska. Project Management office in Business Solution Center of Info Systems and Tech, BCBS Arkansas. Manager of Clinical Services and Population Health, BCBS. https://t.co/0RiI81I0ek",sr cloud data engineer bcbs nebraska project management office in business solution center of info systems and tech bcbs arkansas manager of clinical services and population health bcbs httpstco0rii81i0ek
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001066902244741449,244540684,2025-12-16 23:08:22+00:00,"Elastic Multicast by #COZYROC #ETL #DataEngineering
See the full post : https://t.co/qEI5zag7iS #ETL #SSIS  #SQLServer #COZYROC #Multicast",elastic multicast by cozyroc etl dataengineering see the full post httpstcoqei5zag7is etl ssis sqlserver cozyroc multicast
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001060224090648665,14929715,2025-12-16 22:41:49+00:00,La automatización de procesos de datos a través de orquestación con n8n y Vibe Coding permiten mejorar la escalabilidad y reducir la latencia en la ingesta de datos. Un enfoque más inteligente en la automatización. #DataEngineering #DevOps,la automatizacion de procesos de datos a traves de orquestacion con n8n y vibe coding permiten mejorar la escalabilidad y reducir la latencia en la ingesta de datos un enfoque mas inteligente en la automatizacion dataengineering devops
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001058441951862944,14929715,2025-12-16 22:34:45+00:00,"La automatización de procesos de datos con n8n y Vibe Coding es el paso siguiente en la evolución de la ingeniería de software. Con abstracción y orquestación, reducimos la latencia y la deuda técnica, liberando recursos para innovación y escalabilidad. #DataEngineering #DevOps",la automatizacion de procesos de datos con n8n y vibe coding es el paso siguiente en la evolucion de la ingenieria de software con abstraccion y orquestacion reducimos la latencia y la deuda tecnica liberando recursos para innovacion y escalabilidad dataengineering devops
Data Engineering Jobs,"(#dataengineering OR ""data engineer"") -is:retweet",2001051216642761004,1770462597135097856,2025-12-16 22:06:02+00:00,"NEW BACKEND JOB ALERT!

 Eyeball s.r.o. is hiring a Data Engineer

 Click on the link below to view more information.

 https://t.co/FpsUEVifU3",new backend job alert eyeball sro is hiring a data engineer click on the link below to view more information httpstcofpsuevifu3
