tweet_id,author_id,created_at,text
2000968973471580230,3369726339,2025-12-16 16:39:14+00:00,"RT @seyithemie: Limited opportunity to join the Final Data Analysis Cohort for 2025! 📍

If you’re willing to commit just 7 weekends, the De…"
2000917358437945701,1875319217077018624,2025-12-16 13:14:08+00:00,@Ryanair How many likes for an opportunity to intern as a data analyst?
2000897199098728549,1434019525,2025-12-16 11:54:01+00:00,"RT @seyithemie: Limited opportunity to join the Final Data Analysis Cohort for 2025! 📍

If you’re willing to commit just 7 weekends, the De…"
2000855134885081215,1860594563506741248,2025-12-16 09:06:52+00:00,"@DisneyCareers I am a huge fan of Disney from my childhood and I wanted to work in Disney, for Disney. I am looking for internship and full time as well in Data analyst / Scientist roles. Can Disney give an opportunity to its life long fan?"
2000800677203992963,1939369983903244288,2025-12-16 05:30:29+00:00,"🚨 JLL | Business Intelligence Analyst – Bengaluru 🚨  

JLL is hiring for the role of Business Intelligence Analyst in Bengaluru, India – an excellent opportunity for freshers and experienced graduates looking to build a career in data &amp; analytics.  

🧾 Role: Business https://t.co/4nFqGvG5j1"
2000764749949133232,976828282585874433,2025-12-16 03:07:43+00:00,"🚀 New Data Analysis opportunity on Rise! 🌐✨

Check it out and kickstart your journey: https://t.co/J9cEwX0vEH

Don't miss out — apply now! 🚀💼

#RemoteJobs #hiring #companieshiring #hiringalert #hiringnow #jobalert #jobopening #jobpost #remotejob #newjobalert"
2000620236739916159,1638803771454115840,2025-12-15 17:33:28+00:00,"@AskMichaelTaiwo My wish:
An opportunity to add value to your scholarship scheme by working remotely as a data analyst, analyzing &amp; visualizing its impact over the years.

Any honorarium chosen from the ₦5m will support my ongoing PhD in Marine Engr., currently delayed by funding constraints."
2000602108395991365,16527803,2025-12-15 16:21:26+00:00,"New Job Opportunity! Call us at 212-566-7600! Assistant Controller/Jr. Business Analyst, $80000 – $100000 - #NewYork.

We are seeking an Assistant Controller or Junior Business Analyst with strong data analysis, SQL, and Excel skills to join a Financia... https://t.co/G8FGFN7hpu https://t.co/REtDHyp085"
2000585161033855384,1042365703,2025-12-15 15:14:06+00:00,"RT @seyithemie: Limited opportunity to join the Final Data Analysis Cohort for 2025! 📍

If you’re willing to commit just 7 weekends, the De…"
2000582695491924037,711157911523880960,2025-12-15 15:04:18+00:00,"RT @seyithemie: Limited opportunity to join the Final Data Analysis Cohort for 2025! 📍

If you’re willing to commit just 7 weekends, the De…"
