tweet_id,author_id,created_at,text
2000659127081578861,1683880690222333952,2025-12-15 20:08:01+00:00,"🏢 Benzinga is hiring a Data Engineer
Location: 🇺🇸 Detroit, Michigan, United States

#DataEngineering #DataEngineeringjob #DEjob #hiring #tech #jobsearch #careers #jobopenings #hire #careeropportunities #US #Benzinga #USjob

https://t.co/vF9Bvu0AtE"
2000619464409178343,1683880690222333952,2025-12-15 17:30:24+00:00,"🏢 Boskalis is hiring a Practical internship - Data Engineering &amp; Visualization
Location: 🇳🇱 Papendrecht, Netherlands

#DataEngineering #DataEngineeringjob #DEjob #hiring #tech #jobsearch #careers #jobopenings #hire #careeropportunities # #Boskalis #job

https://t.co/fr8GzUX0rq"
2000509890951782838,89019112,2025-12-15 10:15:00+00:00,"Want to grow your career in data?

Join us as a data engineer! 

You will have great opportunities to work on innovative projects with our teams who are always evolving in the field.

Apply now: https://t.co/yZZi9u9sIo

#data #analytics #hiring #bigdata #dataengineering https://t.co/ZUuxlF1f2t"
2000339887539822665,1670727806257356800,2025-12-14 22:59:28+00:00,"🚀Senior Data / Analytics Engineer (India, Remote)
$35–$70/hr • DBT &amp; Snowflake • Flexible contract
Apply:
🔗 https://t.co/66T2Y0wzSj

#DataEngineering #AnalyticsEngineer #Snowflake #DBT #RemoteJobs #IndiaJobs #AIJobs #Hiring"
1999903547404820871,1923655548224069632,2025-12-13 18:05:36+00:00,"Hiring Data Engineers (20 openings)! Python, SQL, Data Pipelines &amp; Cloud skills required. AIML a plus! 3-6 years exp. Immediate joiners preferred. Interview (virtual). Share resume shubhanshu.s@onixnet.com #DataEngineering #JobOpening #Python #SQL #Cloud #AIML #TechJobs #Hiring"""
1999894603072155943,1683880690222333952,2025-12-13 17:30:04+00:00,"💼 Monotype is hiring a Data Engineer
Location: 🇮🇳 Noida, India

#DataEngineering #DataEngineeringjob #DEjob #hiring #tech #jobsearch #careers #jobopenings #hire #careeropportunities # #Monotype #job

https://t.co/qMMJYRhDSY"
1999570072755687566,1392200485201928196,2025-12-12 20:00:30+00:00,"#NewJob: Cloud Engineer

Location: Herndon, VA

Clearance: TS/SCI CI Poly

Apply: https://t.co/hQnezYa6Pq

#ITJobs #Engineering #CloudSecurity #CloudEngineer #javascript #typescript #python #DataAnalytics #DataEngineering #Hiring #HiringNow #HiringAlert #TechisHiring"
1999424118333300835,393280537,2025-12-12 10:20:31+00:00,"RT @SimbusTech: We’re Hiring!
Sr. Data Engineer (SQL)
Experience: 4+ years | Work Mode: Work from Anywhere
Join Simbus Tech and turn data i…"
1999060917594841368,1929120632035504128,2025-12-11 10:17:18+00:00,"Upgrade you career gap with Industry Ready AI skills

#job #careers #artificalintelligence #genrativeai #dataengineering #learn #skill #datakompany https://t.co/XdkckXODAB"
1998749997223887233,1466080126693785606,2025-12-10 13:41:48+00:00,#GRASS #Hiring #TechJobs #BigData #DataEngineering #AI #Web3 #CryptoJobs #DataScience #WyndLabs #Engineering https://t.co/HkWQGWTpue
